pdes,tp,q,e,w,om,i,M1,K1,source
73P,2457829.342399361957,.9721772236077267,.6855236514795381,199.3892656094352,69.66171061633882,11.23693112176631,13.8,6.5,ORB
73P-B,2453894.424427309021,0.9391110367239190459542,0.6932855208263886126474,198.7994525904428,69.89247679701043,11.396951947033860719216,15.2,8.,ORB
73P-C,2455851.399686348570,.9428566311694347,.6922258013072282,198.8705914205202,69.84321690348189,11.37915705677313,13.2,9.,ORB
73P-E,2451937.953401424047,0.937436994548815,0.6938774627627,198.7732444491985,69.91710448172594,11.4056211759106,10.4,15.0,ORB
73P-G,2453894.596262955670,0.939183930115084,0.693412971192622,198.7746010901946,69.90839960829794,11.3895622899332,16.8,8.0,ORB
73P-H,2453894.779987816600,0.939169508544489,0.693565806671118,198.7738044969675,69.9078914114573,11.3910638961291,20.2,8.0,ORB
73P-K,2453894.722413499868,0.939076843864193,0.693543485158215,198.7896438621016,69.89734340284451,11.3910646244732,20.9,10.0,ORB
73P-L,2453894.828699747282,0.939089394354414,0.694735674965028,198.7475944367357,69.93678268425323,11.3987127952321,20.9,10.0,ORB
73P-M,2453894.757155731472,0.939096814670938,0.693940938277251,198.7775561198109,69.90530158146959,11.3943614399649,21.0,15.0,ORB
73P-N,2453894.770428668092,0.939254358392007,0.692288993783599,198.7643511012408,69.89730281276252,11.3809412138733,20.4,10.0,ORB
73P-Q,2453894.179447568083,0.939715748283575,0.698647244447971,198.4951921977602,70.13788751331991,11.4193580973025,21.5,7.5,ORB
73P-R,2453894.679640511567,0.939131547287258,0.694088213263508,198.769702114044,69.91308584130121,11.3947263030202,19.2,8.0,ORB
73P-S,2453895.260161931498,1.02236657781188,0.69335823324,181.562191599204,81.99161507316578,11.0481813428788,21.1,15.0,ORB
73P-X,2453895.055026483968,0.939082699809293,0.694751288807723,198.7509795337178,69.92862059302733,11.3993873710683,21.7,10.0,ORB
73P-AI,2453895.200244047415,.9388931783840914,.698165609339885,198.7301308043815,69.97019181795081,11.42992480739673,21.3,10.0,ORB
73P-AJ,2453894.511174519589,0.936080103000306,0.800195285662543,196.7656541361871,72.06227489809055,12.1493175429657,21.3,10.0,ORB
73P-AK,2453894.882694033521,0.937705211325409,0.69335823324,199.3256981265443,69.37619102093456,11.4294972671815,18.8,30.0,ORB
73P-AP,2453893.109783384113,0.938745428567555,0.701430092385429,198.7426204960793,69.9669785019781,11.4659092912232,20.3,10.0,ORB
73P-AQ,2453894.400048974205,0.939006436459305,0.695911908759867,198.7713164253278,69.92072504439952,11.4136956180962,17.5,35.0,ORB
73P-AR,2453893.310796666163,0.939204760431714,0.695799013016798,198.7098465902828,69.96630167530681,11.406522554195,21.8,20.0,ORB
73P-AS,2453892.761313680198,.9388251153500813,.7011056336835199,198.7219593922071,69.97647507180749,11.4618269105828,20.3,10.0,ORB
73P-AT,2453892.788674827537,0.939628790402723,0.686932227480063,198.8104065064084,69.84813048476539,11.3346206138147,21.0,10.0,ORB
73P-BC,2453893.106609153108,0.938807404922457,0.700467515087574,198.7461327274749,69.95554650558832,11.4587061463897,19.8,50.0,ORB
73P-BK,2453895.397088011367,0.939266635740712,0.691542805405763,198.7753879911289,69.89745388065928,11.3707772083427,23.7,10.0,ORB
73P-BL,2453895.363387102140,0.939099661465389,0.696223718867002,198.699429249213,69.97335799061499,11.4093615023607,22.4,10.0,ORB
73P-BN,2453894.712391113391,0.939185744588995,0.691771506515135,198.794770559419,69.88153448038356,11.3774492573962,21.3,10.0,ORB
73P-BO,2453894.771569301961,0.939219068906999,0.691827563127927,198.7715535759656,69.89197757406906,11.3761572743389,22.9,20.0,ORB
73P-BQ,2453894.800427110940,0.939155663545736,0.692453880247705,198.8198463106619,69.8657752054544,11.3882612457051,20.8,10.0,ORB
73P-BT,2457829.320684447972,.9719767582079062,.6856345051905101,199.3494423523701,69.65683849488195,11.23833447259341,13.3,15.25,ORB
74P,2455039.227959158779,3.551164017299509,.1476029967787711,86.60825062817642,77.08367148603679,6.650990552214966,4.8,17.25,ORB
76P,2456420.545243826592,1.602162964826761,.53840740739129,.04853464150566448,84.11235550058475,30.47488333010127,15.4,10.5,ORB
77P,2455020.472278452093,2.311098542747621,.3579075021671352,196.7523001954945,14.91285511991158,24.39924221547497,9.5,14.,ORB
78P,2455938.604936700757,2.011536547242388,.461637372748463,192.7558599464267,210.5626757533421,6.252696505134401,9.0,13.25,ORB
79P,2454614.911432973460,1.230504097618105,.5940852746390944,253.2696876465822,307.8386464761982,2.893178304077592,17.4,4.5,ORB
79P-A,2445058.943087154663,1.194750809922003,.6023273293368896,251.5747726566037,309.3824696459872,2.944088531604184,16.9,10.,ORB
79P-B,2445059.412363622874,1.193726737476237,.5996133080988838,251.7224341773509,309.3093453631898,2.936085459940086,17.5,10.,ORB
